gameid,venue,gameType,season,period_count,period_type,home_id,home_goals,home_sog,home_faceoffWinningPctg,home_powerPlayConversion,home_pim,home_hits,home_blocks,away_id,away_goals,away_sog,away_faceoffWinningPctg,away_powerPlayConversion,away_pim,away_hits,away_blocks
2023020559,PPG Paints Arena,2,20232024,3,REG,5,4,30,0.672131,1/3,6,21,21,19,2,27,0.327869,1/3,6,16,18
2023020560,Amalie Arena,2,20232024,3,REG,14,1,35,0.535714,1/3,8,20,7,3,5,21,0.464286,1/2,10,27,23
2023020561,Scotiabank Arena,2,20232024,3,REG,10,2,27,0.610169,0/3,10,28,11,12,3,28,0.389831,2/4,8,27,12
2023020562,Capital One Arena,2,20232024,5,SO,15,2,29,0.392857,0/3,11,21,21,18,3,36,0.607143,1/2,13,25,17
2023020563,Crypto.com Arena,2,20232024,5,SO,26,2,28,0.509091,1/4,8,29,12,22,3,26,0.490909,1/4,8,22,16
2023020564,Xcel Energy Center,2,20232024,3,REG,30,2,26,0.622642,1/1,11,36,16,52,3,29,0.377358,1/3,7,17,28
2023020565,Little Caesars Arena,2,20232024,3,REG,17,3,30,0.679245,1/6,8,17,13,6,5,24,0.320755,0/2,16,21,17
2023020566,Canadian Tire Centre,2,20232024,3,REG,9,5,31,0.5,1/1,20,24,17,7,1,46,0.5,0/3,16,33,13
2023020567,PPG Paints Arena,2,20232024,3,REG,5,3,38,0.609375,0/4,11,14,18,2,1,38,0.390625,0/2,25,27,25
2023020568,Amalie Arena,2,20232024,3,REG,14,4,20,0.326923,0/3,19,31,17,8,3,29,0.673077,0/1,13,30,17
2023020569,Honda Center,2,20232024,3,REG,24,2,30,0.458333,0/4,31,30,15,22,7,39,0.541667,0/4,41,14,10
2023020570,Scotiabank Saddledome,2,20232024,3,REG,20,4,33,0.423729,0/2,8,16,20,4,3,31,0.576271,0/4,4,22,15
2023020571,Ball Arena,2,20232024,3,REG,21,3,33,0.45,1/6,8,24,10,28,1,11,0.55,1/3,24,21,28
2023020572,American Airlines Center,2,20232024,3,REG,25,8,41,0.545455,1/3,6,5,16,16,1,24,0.454545,1/3,6,29,13
2023020573,T-Mobile Park,2,20232024,3,REG,55,3,27,0.47541,0/2,2,30,20,54,0,35,0.52459,0/1,4,23,20
2023020574,Nationwide Arena,2,20232024,3,REG,29,1,27,0.596491,0/1,8,17,15,6,4,27,0.403509,1/3,4,16,13
2023020575,Madison Square Garden,2,20232024,3,REG,3,1,29,0.491525,0/3,8,26,9,12,6,27,0.508475,2/4,6,18,10
2023020576,PPG Paints Arena,2,20232024,3,REG,5,3,35,0.551724,1/3,4,31,9,15,4,22,0.448276,1/2,6,17,23
2023020577,American Airlines Center,2,20232024,3,REG,25,3,33,0.518519,0/1,6,18,9,8,4,18,0.481481,1/3,2,27,25
2023020578,Xcel Energy Center,2,20232024,3,REG,30,1,29,0.415094,0/3,4,26,11,20,3,33,0.584906,0/1,8,20,24
2023020579,Bridgestone Arena,2,20232024,3,REG,18,3,36,0.58,2/4,11,24,11,16,0,21,0.42,0/3,13,30,25
2023020580,Canada Life Centre,2,20232024,3,REG,52,4,28,0.466667,0/3,6,27,23,14,2,34,0.533333,2/3,6,19,11
2023020581,Mullett Arena,2,20232024,3,REG,53,1,22,0.344828,0/2,40,26,11,13,4,38,0.655172,1/5,23,31,8
2023020582,Ball Arena,2,20232024,4,OT,21,5,39,0.528302,2/5,6,18,16,2,4,22,0.471698,1/3,10,23,31
2023020583,Rogers Place,2,20232024,3,REG,22,5,36,0.52381,1/4,10,15,8,4,2,37,0.47619,0/4,8,28,8
2023020584,Rogers Arena,2,20232024,3,REG,23,6,26,0.509434,1/1,2,23,17,9,3,38,0.490566,0/1,12,29,20
2023020585,Crypto.com Arena,2,20232024,3,REG,26,0,31,0.52381,0/3,13,19,22,10,3,29,0.47619,0/4,11,27,26
2023020586,SAP Center at San Jose,2,20232024,3,REG,28,3,27,0.467742,0/2,10,26,16,17,5,31,0.532258,2/4,6,19,29
2023020587,Capital One Arena,2,20232024,3,REG,15,3,26,0.426471,2/4,4,29,19,1,6,28,0.573529,1/2,8,17,8
2023020588,Honda Center,2,20232024,4,OT,24,1,28,0.408451,0/2,29,20,24,10,2,57,0.591549,1/5,24,16,12
2023020589,TD Garden,2,20232024,3,REG,6,5,29,0.35,0/2,6,19,12,5,6,35,0.65,1/3,4,29,20
2023020590,Centre Bell,2,20232024,3,REG,8,1,33,0.539683,0/3,12,26,14,7,6,38,0.460317,2/4,10,31,17
2023020591,Madison Square Garden,2,20232024,3,REG,3,4,32,0.644444,1/2,11,19,16,16,1,23,0.355556,0/3,9,23,14
2023020592,Wells Fargo Center,2,20232024,5,SO,4,2,41,0.557377,0/4,10,23,22,29,3,28,0.442623,0/5,8,18,15
2023020593,American Airlines Center,2,20232024,4,OT,25,4,32,0.492063,1/3,6,16,14,21,5,34,0.507937,1/3,6,23,22
2023020594,Xcel Energy Center,2,20232024,3,REG,30,1,23,0.568627,0/1,11,23,12,14,4,30,0.431373,1/3,7,17,15
2023020595,Bridgestone Arena,2,20232024,3,REG,18,3,32,0.4,0/1,13,26,16,20,6,39,0.6,1/4,4,22,19
2023020596,Enterprise Center,2,20232024,3,REG,19,2,32,0.680851,0/2,2,12,12,23,1,26,0.319149,0/1,4,19,16
2023020597,Mullett Arena,2,20232024,3,REG,53,1,27,0.333333,1/2,4,18,9,2,5,31,0.666667,1/2,4,25,15
2023020598,Climate Pledge Arena,2,20232024,3,REG,55,4,28,0.44898,0/2,8,11,22,9,1,33,0.55102,0/4,4,19,20
2023020599,T-Mobile Arena,2,20232024,3,REG,54,1,27,0.457143,0/6,16,20,15,13,4,36,0.542857,3/6,16,34,12
2023020600,Crypto.com Arena,2,20232024,5,SO,26,3,43,0.517857,0/2,4,10,11,17,4,27,0.482143,0/2,4,20,22
2023020601,SAP Center at San Jose,2,20232024,3,REG,28,1,28,0.695652,0/2,2,14,17,52,2,30,0.304348,1/1,4,21,16
2023020602,Prudential Center,2,20232024,3,REG,1,4,32,0.654545,0/6,26,19,11,16,2,25,0.345455,1/5,38,17,23
2023020603,Capital One Arena,2,20232024,3,REG,15,2,17,0.393443,1/3,6,14,18,12,6,34,0.606557,2/3,6,11,10
2023020604,Honda Center,2,20232024,3,REG,24,1,38,0.611111,0/2,4,22,20,52,3,27,0.388889,1/1,6,19,20
2023020605,Wells Fargo Center,2,20232024,3,REG,4,3,42,0.5,1/6,29,22,21,20,2,24,0.5,0/3,25,10,23
2023020606,Ball Arena,2,20232024,3,REG,21,4,26,0.5,1/4,12,18,17,13,8,29,0.5,1/5,10,14,6
2023020607,TD Garden,2,20232024,3,REG,6,7,26,0.52,1/4,8,33,15,14,3,26,0.48,0/4,8,25,12
2023020608,PNC Arena,2,20232024,5,SO,12,1,30,0.574074,1/1,2,15,13,19,2,22,0.425926,0/1,2,10,25
2023020609,Nationwide Arena,2,20232024,4,OT,29,3,29,0.477612,1/4,10,15,16,30,4,36,0.522388,2/4,10,7,26
2023020610,Centre Bell,2,20232024,5,SO,8,4,30,0.5,0/2,6,18,25,3,3,48,0.5,0/3,4,24,14
2023020611,Prudential Center,2,20232024,3,REG,1,4,25,0.566667,0/2,2,18,19,23,6,43,0.433333,0/1,4,18,13
2023020612,PPG Paints Arena,2,20232024,3,REG,5,1,41,0.534483,1/5,6,22,17,7,3,32,0.465517,0/3,10,32,16
2023020613,SAP Center at San Jose,2,20232024,3,REG,28,1,24,0.464286,0/0,4,17,19,10,4,32,0.535714,1/2,0,10,11
2023020614,American Airlines Center,2,20232024,3,REG,25,3,29,0.59322,1/2,2,20,15,18,4,22,0.40678,0/1,4,33,23
2023020615,Rogers Place,2,20232024,3,REG,22,3,46,0.615385,2/3,6,15,17,9,1,30,0.384615,0/3,6,31,15
2023020616,T-Mobile Arena,2,20232024,3,REG,54,5,30,0.5,1/1,4,22,18,2,2,29,0.5,0/2,2,34,17
2023020617,United Center,2,20232024,3,REG,16,4,20,0.431034,1/3,6,22,22,20,3,30,0.568966,1/3,6,18,15
2023020618,Capital One Arena,2,20232024,3,REG,15,4,34,0.508772,0/1,6,39,13,26,3,41,0.491228,2/3,2,27,17
2023020619,Mullett Arena,2,20232024,3,REG,53,2,17,0.484375,0/2,13,25,19,52,6,36,0.515625,0/4,9,22,14
2023020620,Honda Center,2,20232024,3,REG,24,2,31,0.45283,0/4,10,15,17,17,3,28,0.54717,1/5,8,21,14
2023020621,Madison Square Garden,2,20232024,3,REG,3,3,42,0.59322,1/2,0,30,9,23,6,26,0.40678,0/0,4,19,13
2023020622,Wells Fargo Center,2,20232024,3,REG,4,1,37,0.545455,1/2,16,32,10,5,4,39,0.454545,1/6,8,12,16
2023020623,Xcel Energy Center,2,20232024,3,REG,30,0,23,0.353846,0/6,4,30,14,25,4,20,0.646154,1/2,12,17,16
2023020624,Ball Arena,2,20232024,5,SO,21,4,36,0.45,1/6,8,28,15,6,3,26,0.55,1/3,14,13,23
2023020625,KeyBank Center,2,20232024,3,REG,7,2,38,0.625,0/1,2,30,14,55,5,26,0.375,1/1,2,21,23
2023020626,Amalie Arena,2,20232024,4,OT,14,3,29,0.5,0/2,4,29,10,26,2,22,0.5,0/1,6,41,24
2023020627,Scotiabank Arena,2,20232024,3,REG,10,7,46,0.612903,3/3,2,19,7,28,1,23,0.387097,1/1,6,49,22
2023020628,UBS Arena,2,20232024,3,REG,2,2,20,0.58,1/2,8,31,17,23,5,34,0.42,0/4,4,20,10
2023020629,Bridgestone Arena,2,20232024,3,REG,18,3,42,0.486111,0/3,11,26,12,24,5,33,0.513889,1/3,11,15,17
2023020630,Enterprise Center,2,20232024,3,REG,19,1,30,0.490196,0/4,10,14,8,13,5,31,0.509804,1/3,12,29,10
2023020631,Canada Life Centre,2,20232024,3,REG,52,5,23,0.5,1/3,8,10,23,29,0,29,0.5,0/3,8,15,21
2023020632,United Center,2,20232024,3,REG,16,1,26,0.358491,0/3,2,19,15,22,2,15,0.641509,0/1,6,9,16
2023020633,Mullett Arena,2,20232024,4,OT,53,4,36,0.41791,1/3,19,25,17,6,3,33,0.58209,2/4,17,23,13
2023020634,Scotiabank Saddledome,2,20232024,3,REG,20,6,36,0.448276,0/2,6,24,12,9,3,33,0.551724,1/3,4,13,16
2023020635,Wells Fargo Center,2,20232024,5,SO,4,3,39,0.54386,1/2,2,22,16,8,2,19,0.45614,0/1,4,24,27
2023020636,American Airlines Center,2,20232024,3,REG,25,7,34,0.444444,0/2,6,13,20,30,2,23,0.555556,1/2,6,34,13
2023020637,Ball Arena,2,20232024,3,REG,21,3,35,0.44,2/4,8,20,16,54,0,25,0.56,0/4,8,16,22
2023020638,KeyBank Center,2,20232024,3,REG,7,5,32,0.5,1/3,8,28,27,9,3,28,0.5,0/4,6,27,14
2023020639,PNC Arena,2,20232024,3,REG,12,6,34,0.491525,1/3,17,24,10,24,3,16,0.508475,1/5,13,22,15
2023020640,Little Caesars Arena,2,20232024,4,OT,17,2,18,0.462963,0/3,6,8,19,22,3,47,0.537037,0/2,8,9,24
2023020641,Amerant Bank Arena,2,20232024,4,OT,13,3,41,0.581081,1/3,8,27,15,26,2,33,0.418919,1/3,8,21,17
2023020642,Centre Bell,2,20232024,3,REG,8,2,35,0.45614,0/1,8,22,14,28,3,35,0.54386,0/3,4,39,19
2023020643,PPG Paints Arena,2,20232024,4,OT,5,3,35,0.525424,0/4,4,33,9,23,4,29,0.474576,1/2,8,16,21
2023020644,Amalie Arena,2,20232024,4,OT,14,4,20,0.489362,0/3,6,30,15,1,3,30,0.510638,0/1,10,24,7
2023020645,Capital One Arena,2,20232024,3,REG,15,1,26,0.528302,0/1,2,11,16,55,4,23,0.471698,0/1,2,11,12
2023020646,UBS Arena,2,20232024,4,OT,2,4,30,0.528302,2/3,2,31,19,10,3,35,0.471698,0/1,6,18,19
2023020647,Enterprise Center,2,20232024,3,REG,19,5,20,0.456522,2/4,6,17,23,3,2,43,0.543478,1/3,8,20,12
2023020648,Canada Life Centre,2,20232024,3,REG,52,2,28,0.5,0/4,4,33,20,16,1,21,0.5,0/2,8,17,27
2023020649,Mullett Arena,2,20232024,3,REG,53,2,34,0.411765,0/1,8,28,10,20,6,30,0.588235,1/3,4,19,27
2023020650,T-Mobile Arena,2,20232024,4,OT,54,2,25,0.469388,1/5,6,28,19,6,1,33,0.530612,0/3,10,26,22
2023020651,American Airlines Center,2,20232024,3,REG,25,3,22,0.596774,1/3,10,24,15,18,6,38,0.403226,1/5,6,35,18
2023020652,Xcel Energy Center,2,20232024,4,OT,30,3,29,0.482143,0/2,11,27,13,4,4,35,0.517857,1/3,9,28,17
2023020653,Capital One Arena,2,20232024,3,REG,15,3,21,0.305085,0/3,10,17,22,3,2,27,0.694915,0/3,10,31,14
2023020654,KeyBank Center,2,20232024,3,REG,7,0,26,0.396226,0/3,13,22,12,23,1,23,0.603774,0/2,15,27,17
2023020655,Canadian Tire Centre,2,20232024,3,REG,9,5,41,0.574074,0/2,4,26,15,28,4,18,0.425926,0/2,4,38,26
2023020656,Amerant Bank Arena,2,20232024,3,REG,13,1,36,0.490566,1/2,4,30,10,1,4,22,0.509434,0/2,4,22,21
2023020657,PNC Arena,2,20232024,4,OT,12,3,35,0.508475,0/3,10,19,16,5,2,40,0.491525,0/4,8,19,9
2023020658,Nationwide Arena,2,20232024,3,REG,29,4,34,0.508475,1/3,9,18,7,55,7,36,0.491525,1/2,11,25,26
2023020659,Little Caesars Arena,2,20232024,3,REG,17,5,30,0.655738,1/3,6,25,17,26,3,36,0.344262,3/3,6,16,13
2023020660,Centre Bell,2,20232024,4,OT,8,1,24,0.53125,1/4,10,17,24,22,2,41,0.46875,1/5,8,12,10
2023020661,Amalie Arena,2,20232024,3,REG,14,5,41,0.5,3/3,20,21,12,24,1,20,0.5,1/3,10,37,11
2023020662,Scotiabank Arena,2,20232024,3,REG,10,3,29,0.490196,0/1,8,29,17,21,5,33,0.509804,1/4,2,33,15
2023020663,Canada Life Centre,2,20232024,3,REG,52,0,35,0.466667,0/3,4,31,11,4,2,36,0.533333,1/2,6,17,22
2023020664,United Center,2,20232024,3,REG,16,1,35,0.306452,0/2,11,27,17,25,3,30,0.693548,1/3,9,23,12
2023020665,Xcel Energy Center,2,20232024,3,REG,30,0,38,0.561404,0/3,18,32,9,53,6,33,0.438596,2/3,18,17,18
2023020666,Bridgestone Arena,2,20232024,3,REG,18,3,28,0.490196,1/3,4,26,23,2,1,25,0.509804,0/2,6,33,25
2023020667,Enterprise Center,2,20232024,4,OT,19,3,23,0.530612,2/3,8,17,15,6,4,35,0.469388,1/4,6,18,6
2023020668,T-Mobile Arena,2,20232024,3,REG,54,1,32,0.451613,0/2,4,41,17,20,3,26,0.548387,1/2,4,20,23
2023020669,Madison Square Garden,2,20232024,3,REG,3,2,31,0.421053,0/5,6,24,23,15,1,25,0.578947,0/2,12,20,11
2023020670,Scotiabank Arena,2,20232024,3,REG,10,2,30,0.607143,0/3,4,28,14,17,4,24,0.392857,0/2,6,43,20
2023020671,TD Garden,2,20232024,3,REG,6,3,36,0.5,1/4,4,32,15,1,0,31,0.5,0/1,10,29,13
2023020672,KeyBank Center,2,20232024,3,REG,7,3,35,0.482143,1/2,6,18,17,28,0,28,0.517857,0/2,6,33,14
2023020673,Nationwide Arena,2,20232024,5,SO,29,4,43,0.46,1/5,8,19,15,23,3,30,0.54,1/4,10,19,11
2023020674,Amerant Bank Arena,2,20232024,4,OT,13,4,33,0.619048,2/4,16,17,11,24,5,26,0.380952,0/5,14,22,19
2023020675,PNC Arena,2,20232024,3,REG,12,2,32,0.508772,0/5,8,15,9,26,5,26,0.491228,0/4,10,17,18
2023020676,Xcel Energy Center,2,20232024,3,REG,30,5,40,0.47541,2/5,10,14,14,2,0,21,0.52459,0/5,12,28,12
2023020677,PPG Paints Arena,2,20232024,3,REG,5,3,33,0.6,0/2,4,14,12,55,0,22,0.4,0/2,4,22,16
2023020678,Centre Bell,2,20232024,3,REG,8,4,34,0.614286,2/2,10,10,25,21,3,35,0.385714,1/4,6,11,8
2023020679,Enterprise Center,2,20232024,3,REG,19,2,30,0.403846,1/3,4,17,19,4,4,42,0.596154,0/2,6,16,16
2023020680,T-Mobile Arena,2,20232024,3,REG,54,4,29,0.627451,0/2,8,26,21,18,1,35,0.372549,0/4,4,48,25
2023020681,Madison Square Garden,2,20232024,3,REG,3,5,23,0.674419,1/2,4,24,15,55,2,31,0.325581,2/2,4,18,12
2023020682,Canadian Tire Centre,2,20232024,3,REG,9,4,40,0.597222,1/3,10,17,15,21,7,34,0.402778,1/3,10,25,23
2023020683,Capital One Arena,2,20232024,3,REG,15,2,28,0.422222,0/1,11,21,21,24,0,24,0.577778,0/2,9,23,11
2023020684,American Airlines Center,2,20232024,3,REG,25,5,28,0.508772,0/1,8,23,22,26,1,32,0.491228,1/4,2,18,15
2023020685,Canada Life Centre,2,20232024,3,REG,52,4,44,0.539683,1/5,4,17,12,2,2,37,0.460317,0/2,10,31,11
2023020686,United Center,2,20232024,5,SO,16,2,25,0.490909,1/4,16,26,8,28,1,38,0.509091,0/2,20,35,21
2023020687,Scotiabank Saddledome,2,20232024,4,OT,20,3,30,0.592593,1/5,8,12,17,53,2,25,0.407407,0/3,12,17,12
2023020688,Rogers Place,2,20232024,3,REG,22,4,32,0.52,0/1,2,32,9,10,2,27,0.48,0/1,2,27,22
2023020689,Amerant Bank Arena,2,20232024,4,OT,13,2,34,0.614035,0/2,12,19,13,17,3,29,0.385965,1/3,10,27,26
2023020690,Prudential Center,2,20232024,3,REG,1,2,30,0.622222,2/4,2,17,12,8,3,25,0.377778,0/1,8,12,17
2023020691,KeyBank Center,2,20232024,3,REG,7,3,31,0.435897,1/6,10,14,13,16,0,19,0.564103,0/4,15,25,19
2023020692,TD Garden,2,20232024,3,REG,6,5,31,0.491803,1/3,4,27,14,21,2,32,0.508197,0/2,6,32,17
2023020693,Canadian Tire Centre,2,20232024,3,REG,9,6,37,0.47619,0/2,15,23,15,8,2,23,0.52381,0/4,11,18,12
2023020694,Wells Fargo Center,2,20232024,3,REG,4,5,43,0.5,1/4,4,20,20,25,1,15,0.5,0/2,8,23,20
2023020695,Amalie Arena,2,20232024,3,REG,14,7,38,0.641509,3/3,8,26,17,30,3,33,0.358491,0/2,10,23,13
2023020696,Capital One Arena,2,20232024,3,REG,15,5,26,0.509804,2/4,10,11,16,19,2,20,0.490196,0/5,8,8,15
2023020697,Scotiabank Saddledome,2,20232024,3,REG,20,3,26,0.460317,1/3,6,19,13,10,4,32,0.539683,1/2,8,27,13
2023020698,Rogers Place,2,20232024,3,REG,22,4,36,0.68,2/5,24,16,18,55,2,27,0.32,0/5,23,38,9
2023020699,Crypto.com Arena,2,20232024,3,REG,26,1,34,0.551724,1/5,6,22,16,18,2,33,0.448276,1/3,10,29,23
2023020700,Rogers Arena,2,20232024,3,REG,23,2,26,0.716981,1/5,11,25,10,53,1,21,0.283019,0/2,17,25,11
2023020701,T-Mobile Arena,2,20232024,3,REG,54,5,26,0.5,1/3,6,24,20,3,1,30,0.5,1/3,6,25,16
2023020702,PNC Arena,2,20232024,3,REG,12,4,30,0.557377,1/1,2,11,10,17,2,12,0.442623,1/1,2,13,17
2023020703,Nationwide Arena,2,20232024,3,REG,29,1,30,0.358491,0/3,8,24,19,1,4,33,0.641509,0/4,6,11,19
2023020704,Amerant Bank Arena,2,20232024,3,REG,13,4,35,0.474576,0/4,26,28,8,30,6,26,0.525424,5/6,22,20,26
2023020705,United Center,2,20232024,4,OT,16,4,24,0.459016,0/2,6,24,24,2,3,30,0.540984,0/2,6,31,18
2023020706,KeyBank Center,2,20232024,3,REG,7,1,27,0.469388,0/2,6,18,11,14,3,16,0.530612,0/3,4,16,13
2023020707,Wells Fargo Center,2,20232024,3,REG,4,4,40,0.644068,0/3,4,19,12,21,7,25,0.355932,1/2,6,25,28
2023020708,Mullett Arena,2,20232024,3,REG,53,3,24,0.526316,0/2,12,29,18,18,2,32,0.473684,1/6,4,26,12
2023020709,Canadian Tire Centre,2,20232024,4,OT,9,1,35,0.5,0/4,13,25,14,52,2,29,0.5,0/4,13,22,13
2023020710,TD Garden,2,20232024,3,REG,6,9,36,0.509091,1/3,11,39,14,8,4,21,0.490909,2/3,11,44,7
2023020711,Prudential Center,2,20232024,3,REG,1,2,31,0.515625,0/3,22,25,18,25,6,36,0.484375,1/6,6,12,17
2023020712,Rogers Arena,2,20232024,3,REG,23,6,21,0.381818,2/3,18,52,19,10,4,46,0.618182,0/5,14,40,14
2023020713,Enterprise Center,2,20232024,3,REG,19,3,29,0.408163,1/2,22,21,13,15,0,18,0.591837,0/3,20,15,15
2023020714,Scotiabank Saddledome,2,20232024,3,REG,20,1,27,0.535714,0/3,4,32,8,22,3,32,0.464286,0/2,6,25,13
2023020715,SAP Center at San Jose,2,20232024,3,REG,28,5,19,0.490566,0/2,10,18,18,24,3,34,0.509434,1/3,8,13,21
2023020716,T-Mobile Arena,2,20232024,3,REG,54,3,29,0.440678,0/4,2,18,18,5,2,25,0.559322,0/1,8,22,14
2023020717,Crypto.com Arena,2,20232024,3,REG,26,2,26,0.56,0/1,6,21,13,3,1,23,0.44,0/3,2,32,20
2023020718,Wells Fargo Center,2,20232024,3,REG,4,3,25,0.375,2/4,6,27,12,9,5,34,0.625,0/3,8,21,18
2023020719,PNC Arena,2,20232024,3,REG,12,2,42,0.606557,0/4,4,15,10,30,5,19,0.393443,0/2,8,21,22
2023020720,Little Caesars Arena,2,20232024,3,REG,17,2,35,0.507937,0/2,6,18,9,14,1,28,0.492063,0/3,4,12,16
2023020721,UBS Arena,2,20232024,4,OT,2,3,28,0.396552,0/0,6,38,23,25,2,43,0.603448,0/3,0,16,11
2023020722,Honda Center,2,20232024,3,REG,24,2,18,0.52459,0/3,8,23,24,3,5,33,0.47541,2/4,6,21,13
2023020723,Climate Pledge Arena,2,20232024,3,REG,55,1,17,0.283019,0/2,11,24,16,10,3,26,0.716981,0/2,11,17,18
2023020724,TD Garden,2,20232024,3,REG,6,4,21,0.5,0/3,6,34,17,52,1,21,0.5,0/3,6,43,11
2023020725,Prudential Center,2,20232024,4,OT,1,6,38,0.461538,0/2,2,16,11,54,5,32,0.538462,0/0,6,16,17
2023020726,Bridgestone Arena,2,20232024,3,REG,18,1,27,0.542373,0/5,13,31,18,13,4,38,0.457627,1/4,15,35,18
2023020727,Mullett Arena,2,20232024,3,REG,53,5,26,0.378788,1/3,6,20,11,5,2,27,0.621212,0/3,6,23,18
2023020728,Rogers Arena,2,20232024,3,REG,23,2,29,0.447368,0/3,10,28,9,16,0,31,0.552632,0/5,6,26,9
2023020729,Crypto.com Arena,2,20232024,5,SO,26,3,47,0.45283,1/3,2,20,21,28,4,27,0.54717,0/1,6,26,20
2023020730,Little Caesars Arena,2,20232024,3,REG,17,4,34,0.4,3/4,4,23,18,25,5,38,0.6,1/2,8,10,25
2023020731,Centre Bell,2,20232024,3,REG,8,1,25,0.52,0/5,10,34,13,9,4,28,0.48,0/5,10,18,15
2023020732,Wells Fargo Center,2,20232024,3,REG,4,3,32,0.557692,1/2,8,17,23,14,6,21,0.442308,2/3,6,13,17
2023020733,UBS Arena,2,20232024,3,REG,2,2,42,0.528302,0/3,6,31,7,54,3,27,0.471698,1/3,6,14,14
2023020734,Xcel Energy Center,2,20232024,3,REG,30,5,30,0.5,0/2,8,16,11,15,3,33,0.5,1/4,4,16,13
2023020735,Scotiabank Saddledome,2,20232024,3,REG,20,3,35,0.526316,0/3,2,19,13,19,4,26,0.473684,0/1,6,27,17
2023020736,Rogers Place,2,20232024,3,REG,22,4,24,0.510204,1/2,10,28,16,29,1,27,0.489796,0/4,6,25,15
2023020737,Honda Center,2,20232024,3,REG,24,4,36,0.509804,1/4,38,26,16,7,2,30,0.490196,1/3,30,27,10
2023020738,SAP Center at San Jose,2,20232024,4,OT,28,3,22,0.396552,0/3,6,12,16,3,2,31,0.603448,0/3,6,20,15
2023020739,Amerant Bank Arena,2,20232024,3,REG,13,6,42,0.541667,1/4,36,20,11,53,2,33,0.458333,1/7,30,18,9
2023020740,Scotiabank Arena,2,20232024,4,OT,10,1,30,0.648148,0/5,4,23,19,52,0,32,0.351852,0/2,10,25,10
2023020741,TD Garden,2,20232024,3,REG,6,2,28,0.52,0/4,6,31,13,12,3,33,0.48,2/3,8,32,7
2023020742,Ball Arena,2,20232024,3,REG,21,6,31,0.546875,2/4,10,16,24,15,2,25,0.453125,0/5,8,19,15
2023020743,Climate Pledge Arena,2,20232024,3,REG,55,6,28,0.507463,0/3,6,7,17,16,2,34,0.492537,1/3,6,16,19
2023020744,Rogers Arena,2,20232024,4,OT,23,3,32,0.520833,1/3,6,20,15,19,4,18,0.479167,1/3,6,26,23
2023020745,Crypto.com Arena,2,20232024,3,REG,26,3,40,0.54386,1/3,8,26,23,7,5,37,0.45614,0/4,6,16,13
2023020746,PNC Arena,2,20232024,3,REG,12,3,23,0.568627,1/4,6,20,14,1,2,25,0.431373,0/3,8,19,7
2023020747,Little Caesars Arena,2,20232024,3,REG,17,3,17,0.618182,0/4,17,12,22,4,0,30,0.381818,0/3,19,15,18
2023020748,Centre Bell,2,20232024,3,REG,8,4,26,0.48,2/5,15,23,18,2,3,46,0.52,3/8,10,15,10
2023020749,Canadian Tire Centre,2,20232024,4,OT,9,2,37,0.509091,2/6,8,32,12,6,3,23,0.490909,1/1,18,24,19
2023020750,Amalie Arena,2,20232024,3,REG,14,6,37,0.44186,1/3,12,25,15,53,3,20,0.55814,0/1,26,38,16
